t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
379,0.010000,0.475279,0.451843,0.161414,0.161414,194
380,0.010000,0.472130,0.451857,0.163343,0.163343,199
381,0.020000,0.451522,0.451869,0.175176,0.175176,223
382,0.000000,0.452209,0.451869,0.166417,0.166417,205
383,0.000000,0.452760,0.451869,0.158097,0.158097,187
384,0.000000,0.453200,0.451869,0.150192,0.150192,169
385,0.010000,0.446411,0.451891,0.152682,0.152682,171
386,0.000000,0.446521,0.451891,0.145048,0.145048,152
387,0.010000,0.438961,0.451913,0.147796,0.147796,153
388,0.000000,0.446961,0.451913,0.140406,0.140406,137
389,0.000000,0.453361,0.451913,0.133386,0.133386,121
390,0.000000,0.466481,0.451913,0.126716,0.126716,108
391,0.000000,0.476977,0.451913,0.120380,0.120380,95
392,0.040000,0.460081,0.451946,0.154361,0.154361,163
393,0.000000,0.465457,0.451946,0.146643,0.146643,147
394,0.030000,0.446065,0.451982,0.169311,0.169311,192
395,0.010000,0.443684,0.451982,0.170846,0.170846,194
396,0.000000,0.447539,0.451982,0.162303,0.162303,177
397,0.000000,0.453024,0.451982,0.154188,0.154188,161
398,0.000000,0.459811,0.451982,0.146479,0.146479,146
399,0.000000,0.467641,0.451982,0.139155,0.139155,132
400,0.000000,0.476305,0.451982,0.132197,0.132197,119
401,0.010000,0.478551,0.451982,0.135587,0.135587,127
402,0.010000,0.483548,0.451991,0.138808,0.138808,136
403,0.010000,0.482748,0.451991,0.141867,0.141867,144
404,0.010000,0.482105,0.452005,0.144774,0.144774,151
405,0.000000,0.486276,0.452005,0.137535,0.137535,137
406,0.000000,0.491213,0.452005,0.130659,0.130659,124
407,0.010000,0.483357,0.452016,0.134126,0.134126,131
408,0.010000,0.479718,0.452022,0.137419,0.137419,138
409,0.020000,0.464199,0.452052,0.150548,0.150548,164
410,0.000000,0.466351,0.452052,0.143021,0.143021,148
411,0.010000,0.460298,0.452058,0.145870,0.145870,152
412,0.010000,0.450662,0.452058,0.148576,0.148576,155
413,0.000000,0.459522,0.452058,0.141148,0.141148,141
414,0.000000,0.466609,0.452058,0.134090,0.134090,127
415,0.010000,0.473139,0.452075,0.137386,0.137386,136
416,0.000000,0.487103,0.452075,0.130516,0.130516,125
417,0.050000,0.465622,0.452111,0.173991,0.173991,214
418,0.000000,0.469890,0.452111,0.165291,0.165291,198
419,0.030000,0.446411,0.452152,0.187027,0.187027,242
420,0.000000,0.446521,0.452152,0.177675,0.177675,223
421,0.010000,0.438961,0.452177,0.178791,0.178791,224
422,0.000000,0.441361,0.452177,0.169852,0.169852,205
423,0.000000,0.445681,0.452177,0.161359,0.161359,187
424,0.000000,0.451537,0.452177,0.153291,0.153291,170
425,0.010000,0.451537,0.452177,0.155627,0.155627,174
426,0.010000,0.449137,0.452191,0.157845,0.157845,177
427,0.000000,0.451902,0.452191,0.149953,0.149953,159
428,0.010000,0.450229,0.452205,0.152455,0.152455,162
429,0.000000,0.455175,0.452205,0.144833,0.144833,145
430,0.010000,0.453649,0.452205,0.147591,0.147591,150
431,0.000000,0.459511,0.452205,0.140211,0.140211,134
432,0.000000,0.465801,0.452205,0.133201,0.133201,119
433,0.010000,0.461427,0.452215,0.136541,0.136541,125
434,0.000000,0.466534,0.452215,0.129714,0.129714,110
435,0.000000,0.470619,0.452215,0.123228,0.123228,95
436,0.000000,0.475488,0.452215,0.117067,0.117067,81
437,0.000000,0.479382,0.452215,0.111213,0.111213,67
438,0.000000,0.493698,0.452215,0.105653,0.105653,58
439,0.020000,0.488679,0.452230,0.120370,0.120370,89
440,0.000000,0.503536,0.452230,0.114352,0.114352,81
441,0.010000,0.507860,0.452234,0.118634,0.118634,93
442,0.040000,0.491988,0.452262,0.152702,0.152702,165
443,0.010000,0.487213,0.452262,0.155067,0.155067,173
444,0.030000,0.465070,0.452288,0.177314,0.177314,220
445,0.010000,0.459107,0.452301,0.178448,0.178448,224
446,0.000000,0.462278,0.452301,0.169526,0.169526,208
447,0.020000,0.451584,0.452318,0.181049,0.181049,233
448,0.000000,0.455459,0.452318,0.171997,0.171997,216
449,0.010000,0.453875,0.452318,0.173397,0.173397,220
450,0.010000,0.450207,0.452328,0.174727,0.174727,223
451,0.000000,0.454358,0.452328,0.165991,0.165991,206
452,0.010000,0.450594,0.452343,0.167691,0.167691,209
453,0.000000,0.452267,0.452343,0.159307,0.159307,191
454,0.000000,0.456806,0.452343,0.151341,0.151341,174
455,0.010000,0.452789,0.452368,0.153774,0.153774,177
456,0.000000,0.455623,0.452368,0.146086,0.146086,159
457,0.010000,0.448407,0.452368,0.148781,0.148781,161
458,0.000000,0.449718,0.452368,0.141342,0.141342,142
459,0.010000,0.438961,0.452377,0.144275,0.144275,143
460,0.000000,0.444561,0.452377,0.137061,0.137061,125
461,0.010000,0.443281,0.452377,0.140208,0.140208,127
462,0.000000,0.446417,0.452377,0.133198,0.133198,109
463,0.000000,0.456926,0.452377,0.126538,0.126538,95
464,0.000000,0.467733,0.452377,0.120211,0.120211,82
465,0.000000,0.484378,0.452377,0.114201,0.114201,72
466,0.000000,0.499295,0.452377,0.108491,0.108491,63
467,0.040000,0.484335,0.452406,0.143066,0.143066,134
468,0.000000,0.494460,0.452406,0.135913,0.135913,123
469,0.040000,0.464956,0.452444,0.169117,0.169117,192
470,0.000000,0.470957,0.452444,0.160661,0.160661,178
471,0.000000,0.478158,0.452444,0.152628,0.152628,165
472,0.000000,0.483918,0.452444,0.144997,0.144997,152
473,0.010000,0.483842,0.452444,0.147747,0.147747,160
